	time		p1		p2
   0.0000000e+00   2.5000000e-02  -0.0000000e+00
   1.0000000e-02   3.7471104e-01  -1.2477570e-02
   2.0000000e-02   3.7722535e-01  -1.1977602e-02
   3.0000000e-02   3.7732627e-01  -1.1805903e-02
   4.0000000e-02   3.7733501e-01  -1.1747413e-02
   5.0000000e-02   3.7735433e-01  -1.1723098e-02
   6.0000000e-02   3.7738249e-01  -1.1709443e-02
   7.0000000e-02   3.7741432e-01  -1.1699293e-02
   8.0000000e-02   3.7744692e-01  -1.1690453e-02
   9.0000000e-02   3.4420905e-01  -1.4229682e-02
   1.0000000e-01   3.6606654e-01  -1.4786744e-02
   1.1000000e-01   3.7820103e-01  -1.5385093e-02
   1.2000000e-01   3.8235951e-01  -1.5607469e-02
   1.3000000e-01   3.8375067e-01  -1.5688637e-02
   1.4000000e-01   3.8417248e-01  -1.5720490e-02
   1.5000000e-01   3.8427337e-01  -1.5735837e-02
   1.6000000e-01   3.8426890e-01  -1.5745708e-02
   1.7000000e-01   3.5831890e-01  -1.5285924e-02
   1.8000000e-01   3.7676183e-01  -1.2232383e-02
   1.9000000e-01   3.8214021e-01  -1.1365468e-02
   2.0000000e-01   3.6481783e-01  -1.3609345e-02
   2.1000000e-01   3.6860580e-01  -1.3337071e-02
   2.2000000e-01   3.6983558e-01  -1.3320417e-02
   2.3000000e-01   3.7081937e-01  -1.3377665e-02
   2.4000000e-01   3.7147362e-01  -1.3427923e-02
   2.5000000e-01   3.7203802e-01  -1.3484748e-02
   2.6000000e-01   3.7260515e-01  -1.3551909e-02
   2.7000000e-01   3.7321555e-01  -1.3631025e-02
   2.8000000e-01   3.7382929e-01  -1.3714065e-02
   2.9000000e-01   3.7441414e-01  -1.3794908e-02
   3.0000000e-01   3.7504261e-01  -1.3883214e-02
   3.1000000e-01   3.7556889e-01  -1.3957390e-02
   3.2000000e-01   3.7605839e-01  -1.4026696e-02
   3.3000000e-01   3.7651537e-01  -1.4091659e-02
   3.4000000e-01   3.7690278e-01  -1.4146794e-02
   3.5000000e-01   3.6660269e-01  -1.2700970e-02
   3.6000000e-01   3.7044029e-01  -1.1317062e-02
   3.7000000e-01   3.6822216e-01  -1.0623674e-02
   3.8000000e-01   3.5795990e-01  -1.3047414e-02
   3.9000000e-01   3.6626962e-01  -1.3100562e-02
   4.0000000e-01   3.6685319e-01  -1.2639422e-02
   4.1000000e-01   3.6596843e-01  -1.2173141e-02
   4.2000000e-01   3.5548619e-01  -1.2856681e-02
   4.3000000e-01   3.8215128e-01  -1.0379552e-02
   4.4000000e-01   3.8326998e-01  -9.3827288e-03
   4.5000000e-01   3.6258642e-01  -1.4840716e-02
   4.6000000e-01   3.6999051e-01  -1.5073743e-02
   4.7000000e-01   3.7121861e-01  -1.5085938e-02
   4.8000000e-01   3.7155760e-01  -1.5055684e-02
   4.9000000e-01   3.7161080e-01  -1.5019405e-02
   5.0000000e-01   3.7154921e-01  -1.4983078e-02
   5.1000000e-01   3.7145227e-01  -1.4950408e-02
   5.2000000e-01   3.7131551e-01  -1.4913711e-02
   5.3000000e-01   3.7117954e-01  -1.4879625e-02
   5.4000000e-01   3.7106064e-01  -1.4850662e-02
   5.5000000e-01   3.7093948e-01  -1.4821677e-02
   5.6000000e-01   3.4522619e-01  -1.4679837e-02
   5.7000000e-01   3.3842458e-01  -1.4848756e-02
   5.8000000e-01   3.6917174e-01  -1.5199779e-02
   5.9000000e-01   3.4061211e-01  -1.5009366e-02
   6.0000000e-01   3.5217852e-01  -1.5877997e-02
   6.1000000e-01   3.2462464e-01  -1.4980055e-02
   6.2000000e-01   3.2389186e-01  -1.4828625e-02
   6.3000000e-01   3.2374145e-01  -1.4726261e-02
